CUENTA	DESCRIPCION	RUBRO
233.030102.02       	DEPOSITOS EN CUENTAS DE AHORRO-M/E                                                                                                                    	2330301020202       
1                   	ACTIVO                                                                                                                                                	1000000000000       
11                  	DISPONIBILIDADES                                                                                                                                      	1100000000000       
111                 	CAJA                                                                                                                                                  	1110000000000       
111.01              	CAJA MOVIMIENTO DIARIO                                                                                                                                	1110100000000       
111.0101            	CAJEROS DE VENTANILLA                                                                                                                                 	1110101000000       
111.010101          	CAJEROS DE VENTANILLA-ZONA CENTRO                                                                                                                     	1110101000001       
111.010101.01       	CAJEROS VENTANILLA-OFIC.PRINCIPAL-TEGA                                                                                                                	1110101000001       
111.010101.02       	CAJEROS VENTANILLA-AGENCIA KENNEDY-TEGA                                                                                                               	1110101000001       
111.010101.03       	CAJEROS VENTANILLA-AGENCIA SAN ISIDRO-COMAYAGUELA                                                                                                     	1110101000001       
111.010101.04       	CAJEROS VENTANILLA-AGENCIA CENTRO-TEGUCIGALPA                                                                                                         	1110101000001       
111.010101.05       	CAJEROS VENTANILLA-AGENCIA SANTA FE-COMAYAGUELA                                                                                                       	1110101000001       
111.010101.06       	CAJEROS VENTANILLA-AGENCIA PEDREGAL-TEGA                                                                                                              	1110101000001       
111.010101.07       	CAJEROS VENTANILLA-AGENCIA AVE.LA PAZ-TEGA                                                                                                            	1110101000001       
111.010101.08       	CAJEROS VENTANILLA-AGENCIA COMAYAGUA-COMAYAGUA                                                                                                        	1110101000001       
111.010101.09       	CAJEROS VENTANILLA-AGENCIA SIGUATEPEQUE-COMAYAGUA                                                                                                     	1110101000001       
111.010101.10       	CAJEROS VENTANILLA-AGENCIA MALL PREMIER-COMAYAGUELA                                                                                                   	1110101000001       
111.010101.11       	CAJEROS VENTANILLA-CN SAN LUIS COMAYAGUA                                                                                                              	1110101000001       
111.010101.12       	CAJEROS VENTANILLA-AGENCIA TALANGA                                                                                                                    	1110101000001       
111.010101.13       	CAJEROS VENTANILLA-CN LA ESPERANZA                                                                                                                    	1110101000001       
